UID,id,instructorId,termId,schoolCode,number,section,type
38432-577-87,38432,577,87,CS,1100,01,Lecture
38433-577-87,38433,577,87,CS,1100,02,Lecture
38434-1427-87,38434,1427,87,CS,1100,03,Lecture
38435-1427-87,38435,1427,87,CS,1100,04,Lecture
38436-1571-87,38436,1571,87,CS,1100,05,Lecture
38437-1571-87,38437,1571,87,CS,1100,06,Lecture
39229-577-87,39229,577,87,CS,1100,07,Lecture
39457-577-87,39457,577,87,CS,1100,08,Lecture
39875-1427-87,39875,1427,87,CS,1100,09,Lecture
39876-1427-87,39876,1427,87,CS,1100,10,Lecture
39877-1571-87,39877,1571,87,CS,1100,11,Lecture
39878-2099-87,39878,2099,87,CS,1100,12,Lecture
39879-577-87,39879,577,87,CS,1100,13,Lecture
39880-577-87,39880,577,87,CS,1100,14,Lecture
39881-1427-87,39881,1427,87,CS,1100,15,Lecture
39882-1427-87,39882,1427,87,CS,1100,16,Lecture
39883-2099-87,39883,2099,87,CS,1100,17,Lecture
39884-2099-87,39884,2099,87,CS,1100,18,Lecture
38029-2413-87,38029,2413,87,CS,1200,01,Lecture
38028-3463-87,38028,3463,87,CS,1200,02,Lecture
38027-4363-87,38027,4363,87,CS,1200,03,Lecture
38027-3665-87,38027,3665,87,CS,1200,03,Lecture
38026-2302-87,38026,2302,87,CS,1200,04,Lecture
38916-3746-87,38916,3746,87,CS,1200,05,Lecture
38953-3665-87,38953,3665,87,CS,1200,06,Lecture
39178-2302-87,39178,2302,87,CS,1200,07,Lecture
39179-2413-87,39179,2413,87,CS,1200,08,Lecture
39231-3463-87,39231,3463,87,CS,1200,09,Lecture
39331-3746-87,39331,3746,87,CS,1200,10,Lecture
39405-4178-87,39405,4178,87,CS,1200,11,Lecture
39570-4101-87,39570,4101,87,CS,1200,12,Lecture
39571-3665-87,39571,3665,87,CS,1200,13,Lecture
39572-3746-87,39572,3746,87,CS,1200,14,Lecture
39573-3463-87,39573,3463,87,CS,1200,15,Lecture
39574-2413-87,39574,2413,87,CS,1200,16,Lecture
39575-4363-87,39575,4363,87,CS,1200,17,Lecture
39575-3463-87,39575,3463,87,CS,1200,17,Lecture
39885-4178-87,39885,4178,87,CS,1200,18,Lecture
39886-4101-87,39886,4101,87,CS,1200,19,Lecture
39887-3665-87,39887,3665,87,CS,1200,20,Lecture
