code,UID,course-comment,learning-comment,instructor-related
CS1100,CS1100,,All teachers are the same. Take this class because it will help you for coop.,Prof Ossowski was enthusiastic about helping students in class and was always willing to provide extra instruction if necessary.
CS5600,CS5600,,"Learned a lot in this class, definitely recommend it!","The professor is extremely friendly and helpful! Always available, knows his stuff and explains things clearly! The only thing I could think of was the midterm, which, in my opinion, was very hard, especially for those we didn't have background before. It would be helpful if we can get a review or get some written homework similar to the exam before actually taking it."
CS5200,CS5200,,Very good course which covered a lot of things  regarding to database systems. I learned a lot from this course and it prepared me to learn more in the future.,Very knowledgeable and very nice.
CS5151,CS5151,,The labs didn't really do much frankly. They were so easy compared to the exams and what we were learning.,"He was barely present during our ""in-class"" labs. He would answer questions with: look it up yourself or you can figure it out."
CS5211,CS5211,,"Professor has included lots of syllabus which is impossible to study. We have to devote all the time to this course and thus can't justify other course. Kindly request to minimize assignments, exams and labs. Also practical exam is overhead.","Professor has included lots of syllabus which is impossible to study. We have to devote all the time to this course and thus can't justify other course. Kindly request to minimize assignments, exams and labs. Also practical exam is overhead."
CS5240,CS5240,,Good course that let you know the legal implication of inadvertent activities of a cyber security professional.,Very good orator.
CS6120,CS6120,,Nothing,It will be better if professor gave us more material to prepare for QA in the class.
CS5100,CS5100,,Course concepts are interesting. Execution of how the material was taught can be improved.,Course communication was a very weak point. Assignment goals and deadlines were poorly communicated for most of the semester.
CS5310,CS5310,,I think the projects that this course demanded were very good for applying the concepts we were learning about. It might have helped if there were more office hours being offered at different times or with TAs.,"The instructor was very prompt in answering emails with questions, but half the time his reply was not incredibly helpful. He does seem to have very good communication skills but i feel with a subject like computer graphics there should be more stuff being explained on the board rather than presentation slides constantly."
CS5520,CS5520,,The course is spanned over different aspects starting from presentations to paper presentations to practical assignments which I found interesting and challenging.,The instructor taught the course well. He provided the needed feedback and necessary time to complete the assignments. The instructor was ethusiastic that the pupils learn the course work than gain marks which I found very good.
CS6140,CS6140,,,
CS6240,CS6240,,,
CS6350,CS6350,,The course was very relevant to my research work.,Very knowledgable about the topics related to this course and innovative in his class instruction  methods.
CS4520,CS4520,,The course is spanned over different aspects starting from presentations to paper presentations to practical assignments which I found interesting and challenging.,The instructor taught the course well. He provided the needed feedback and necessary time to complete the assignments. The instructor was ethusiastic that the pupils learn the course work than gain marks which I found very good.
CS1500,CS1500,,"It would have been nice to get more practice with PHP and SQL, or learn something like jQuery",The organization of the course with the Weebly website describing all the assignments was fantastic. Adding due dates to the Weebly website would have been nice.
CS1200,CS1200,,"over all, it's good",nice
CS2500,CS2500,,Sometimes can be difficult to follow lecture if you make an error in typing your code. Also sometimes different TA or tutor's advice will conflict with another's for problem sets.,"Very smart, good at what he teaches, sometimes difficult to approach. Not great at breaking down code to people who did not understand it."
CS3540,CS3540,,"It is a good portfolio builder, if your goal is to get a job in games.","He understands the purpose of the class, and doesn't demand that students waste their time if they already understand the material for a lecture. Students are responsible for learning what they need to learn, and if they don't need to come to class to do so, they don't have to, but the information is presented in class for any who come."
CS6200,CS6200,,It would be a lot more helpful if the professor can provide the answers to the exams and quiz. I don't care much about the score. I want to learn things by know where I did wrong.,"Personally, I would like to know more about the details of a retrieval model. i.e BM25. I inducted to the final formula step by step from the beginning of the bayes. I hope the professor can spend more time to do the induction to a model mathematically."
CS7400,CS7400,,"PLT-Redex book awful. Cover more PL material and decrease the amount of writing emphasis. Consider more, but slightly easier, assignments (or provide more assistance). This would allow broader learning instead of students getting hung-up on a few hard problems.",Top instructor.
CS5610,CS5610,,The course covers a lot of technologies that have demand in the market. And moreover it has been developed so that even beginers can follow it.,Excellent Prof.
CS2510,CS2510,,"This taught me the basic concepts of how to think as a programmer. It also taught me Java and about interesting data structures. Most of all, it taught me how to approach problems that seem overwhelming at first, and break them down into something I can do.","Best professor I have had so far. I found the honors sections of fundies to be difficult but Prof. Lerner made it challenging in the best kind of way, not too much work, but interesting work. If I had a problem with the material, he was very helpful in office hours. He was always happy to help me out, and is a great lecturer, which made lectures interesting and fun."
CS1210,CS1210,,have more discussion panels,I believe the instructor did a good job teaching the course but could be more reassuring to those who need it at times.
CS1800,CS1800,,"The pace of this class is really fine, not too slow or too fast, good for me. On the class, the instructor could ask more questions and let students to answer, which is helpful to mobilize  the enthusiam of students for this class.",
CS2800,CS2800,,"The beginning of the course should be worked on. The course felt like it took forever to actually get going, but at the same time I remember being drowned in buzzwords on the first day. For example, on the first day of the course I heard the word 'ACL2s' numerous times, but the professor never actually explained until later that ACL2s was the theorem proving language we would be using throughout the course. Also, since we just came from fundies 1, I felt a lot of the review of functional programming at the beginning was unnecessary.","Professor Sprague is a nice guy, who is humorous in class and very kind to students, and genuinely tries to help however he can. However, Logic and Comp is not not quite his forte. Oftentimes in class it feels like he is just reading off the lecture notes he is given by the head of the course, and does not actually fundamentally understand some of the material he is teaching. This means that he is more a conduit for the information than someone who provides extra insight into what is being taught."
CS3650,CS3650,,"A lot of C and some MIPS. There are a few things that feel like they don't quite belong in the course, such as Python list comprehension, but otherwise it's a fair introduction to systems.",A lot of time was spent in class giving hints for the homework in reaction to students struggling with it. I felt that time could have been better spent (and perhaps we could have covered more) if Prof. Cooperman covered the techniques that we need for the homeworks BEFORE we start working on it
CS3700,CS3700,,"The course content is really tough... but there's not really any way to make this stuff simpler, it is what it is. Projects I feel like were graded pretty tough, graded on passing test cases instead of code provided... not really sure if there's any alternative though.","Instructor did a good job covering the course concepts, I would recommend the class to someone else."
CS6220,CS6220,,The course covers important topics of the field. The assignments are good and really help to learn the concepts well. The project asked is also very helpful.,I like the teacher very much :)
CS6510,CS6510,,-,-
CS5011,CS5011,,I found no use in this course,
CS5770,CS5770,,Course was great.,"For a once a week class, he missed at least 3 lectures which was huge throughout the semester."
CS4120,CS4120,,"Very dense, very advanced knowledge, hard to learn it all. I think it might benefit from splitting the Masters and Undergrad level lectures however, lots of the material in class was indecipherable without masters level statistics knowledge.","Very smart, very knowledgeable of the material. Completely incapable of explaining it to students at a level we can understand. I ended up learning more from seeing what we needed to complete the homeworks and googling for information on it. Entire lectures would rely on a stats topic I had never heard of, with only a brief description at the start."
CS4800,CS4800,,Class was very well structured and it teaches you a-lot. It is hard but manageable. I would say one thing that can help the class is having more TA office hours later/earlier in the day and less around the 11am-2pm timeframe as this time is typically preoccupied.,Dr. Ossowski is a very nice and knowledgeable man. He will go over concepts until students understand them. He also is willing to help students outside of class if they are having problems.
CS6020,CS6020,,"I think the class should have stuck with firmer deadlines for weekly assignments (although I took advantage of the flexibility). Also, I think that had the class been smaller, it would have been easier to have discussion.","Some sample answers would have been useful along with the assignment feedback. It took a few assignments to get a feeling for what the graders were looking for, and how to give it to them."
CS5010,CS5010,,na,na
CS5150,CS5150,,,
CS5500,CS5500,,This course is not required for the students who have work experience as they are already familiar with all the concepts covered in the class. Definitely this should not be a core course for MS CS.,Mike knows the subject in and out. And he comes down to a student's level and explains some very technical topics in a very simple language. The class is always fun and I always learn something new.
CS6410,CS6410,,"The course is already fairly comprehensive, but learning techniques for compiling functional languages (e.g. closures) would be pretty cool extension.",Prof. Shivers is great. He has extensive knowledge of the material and often complements the lectures with relevant (and sometimes just amusing) anecdotes and tidbits from compiler history.
CS6710,CS6710,,"I enjoyed this course a lot.  I think we did a good job at covering a lot of the different topics that compose wireless networks and infrastructure.  The projects were enjoyable and enabled us to get hands-on experience learning the fundamentals.  I was not a fan of the textbook, I found it to be dry and confusing.","Prof Noubir is a very knowledgable man and comes to class ready to teach and welcomes questions. He actively adjusts the material to cater to student interest, and takes feedback sincerely.  I think class was a but boring at times, but I think that was partly due to the fact that it was such a small class.  I think prof Noubir is great, and would recommend him to my peers."
CS7485,CS7485,,,Strengths: The lectures and curriculum were very well planned an executed. He always gave satisfactory answers to questions asked in class.
CS7680,CS7680,,,Good vast knowledge
CS7880,CS7880,,,The course instructor is very patient with students' questions. He is brilliant and nice.
CS6030,CS6030,,,"The lectures tend to be longer than necessary for the material covered. Simple examples get drawn out more than necessary, and more challenging (and important) topics are skipped altogether. There is also no enthusiasm displayed in the lectures, they seem more like a formality than a tool to help students learn, which makes it difficult to watch. It's a shame, because the topics are really interesting and the skills learned in the lectures are very valuable."
CS5250,CS5250,,,"He really respond to students question. However, it is better to include the content over the sector specific plan such as what is challenge for CI security and resilience or what is going forward."
CS6121,CS6121,,One topic that should have been covered more extensively would be code review tools usage which wasn't given much focus.,Great TA and Good Instructor.
CS4500,CS4500,,Great course.,Very opinionated instructor.
CS4410,CS4410,,"The course is already fairly comprehensive, but learning techniques for compiling functional languages (e.g. closures) would be pretty cool extension.",Prof. Shivers is great. He has extensive knowledge of the material and often complements the lectures with relevant (and sometimes just amusing) anecdotes and tidbits from compiler history.
CS3500,CS3500,,Hard course,Amit was a fantastic professor and great guy to have as a professor. Definitely would recommend that anyone who take this class try to take it with him.
CS3800,CS3800,,"I don't think I had enough knowledge coming into the course regarding computation/definition of the word ""machine"" in this class's context for this course, especially at the beginning. As a student that possessed only the knowledge of what the prerequisites for this class and not much extra knowledge regarding computability as a whole, I felt that it was difficult to grasp many of the concepts that were introduced in this course. However, this could just be that anything with theory just tends to be more abstract & require more intuition than other subjects.",He's incredibly enthusiastic about the course and is always more than willing to stop and help a student understand a concept they're not getting. The homeworks are very well made and were a huge part of my learning. He was also quick to respond to questions online out of class. His enthusiasm made what would have been a very boring class much more interesting.
CS4000,CS4000,,"This class is a joke and a complete waste of time. Even with a competent professor, it has no potential to be useful. It should definitely not be a requirement for graduation.",Charlie is great. He's very kind and understanding. Glad I got to have a class with him.
CS4150,CS4150,,,
CS5001,CS5001,,"I found that the way CS was being taught in this class helped me understand the deeper concepts, and the fact that I can do CS just like anyone else.","This professor has the ability to be honest with the students, and to not coddle us. He will point out things that are wrong right away and help us fix it."
CS5002,CS5002,,I highly recommend the instructor to give us more examples.,"Teaching this class was clearly a tertiary (not even secondary) priority for the instructor. Needs to improve returning to the topic at hand--gets sidetracked easily, and for long periods of time."
CS6130,CS6130,,It is difficult with an interdisciplinary course to cover material that is equally new and challenging to everyone. It may be an idea to have more individually-targeted or discipline-specific readings in the future.,All good
CS5335,CS5335,,"This course was a great experience. Coming from a mechanical background,I was able to learn a lot. The assignments and the slides provided were really good. Overall it was a great course.",He has some trouble explaining some of the material. But his lectures should give you a rough idea. You can study on your own. I would recommend taking this class.. At least for a mechanical engineer interested in this field.
CS7280,CS7280,,I enjoyed the final project and thought it was a great way to gain some hands on experience in data analysis.  I thought it would have been nice if we could have submitted a draft of the project to get some feedback before the final submission.,Overall the instructor was very effective in teaching the material.  The solutions and feedback on the homework from the grader were also very helpful.
CS5800,CS5800,,,
CS5003,CS5003,,"Fantastic course, I wish we could cover more.","Fantastic teacher, one of the best teachers I've had, I look forward to future classes."
CS5004,CS5004,,Great course. Learned a lot.,"Theo is the man. That's all I can say though the HW assignment can be shorter :) The first half of the course is awesome but the second half is not so much. I would love to see more examples and how to apply different library collections to solve a problem. (for example, when you need to use arraylist vs linkedlist vs other lists...)"
CS5006,CS5006,,"This course ran so quickly that I did not know how can students without prior coding experiences can finish the assignments. Concepts like threading is so hard and it must take more than 1 week to master it. I always feel nervous about this class even though I know I can do it, still the concepts are very tough to master. Plus the limited time, it's getting harder.","Joe is a new teacher and it shows. He knows CS really well, but his teaching skills are lacking. Part of the reason is that he is not full time, which limits the amount of prep work he can do. He also has a full time job. So it's not his complete fault. However, that is when the TA's need to step in and do more than their job description. If the TA's took care of the admin and even advised Joe on the morale of the class, Joe would have been more successful. Joe did the best he could with what he had, but basically this was a class where you had to teach yourself."
CS5007,CS5007,,"This course ran so quickly that I did not know how can students without prior coding experiences can finish the assignments. Concepts like threading is so hard and it must take more than 1 week to master it. I always feel nervous about this class even though I know I can do it, still the concepts are very tough to master. Plus the limited time, it's getting harder.","Joe is a new teacher and it shows. He knows CS really well, but his teaching skills are lacking. Part of the reason is that he is not full time, which limits the amount of prep work he can do. He also has a full time job. So it's not his complete fault. However, that is when the TA's need to step in and do more than their job description. If the TA's took care of the admin and even advised Joe on the morale of the class, Joe would have been more successful. Joe did the best he could with what he had, but basically this was a class where you had to teach yourself."
CS5005,CS5005,,"It was a great idea to have a lab session for the course 5004. I got to practices some of the concepts that I learnt from the class the day before the lab session. The lab introduced and helped set up several new cool tools that we can use for our homework, but sometimes it was hard to get help. The staffs were not always available.",Excellent class. The labs and codewalks were what the students needed. Class once a week is not ideal for new students to CS. Keep this class. Just keep improving the labs; sometimes the assignments were not so clear or the expected answer was wrong.
CS4610,CS4610,,"This course was a great experience. Coming from a mechanical background,I was able to learn a lot. The assignments and the slides provided were really good. Overall it was a great course.",He has some trouble explaining some of the material. But his lectures should give you a rough idea. You can study on your own. I would recommend taking this class.. At least for a mechanical engineer interested in this field.
CS2511,CS2511,,I wish the TAs spent more time going over the material that we are to work on before the lab.,"The TA's that taught this class were, for the most part, very fair and helpful. However, a few seemed to be a bit more critical (perhaps more so than necessary). Other than that, lab was extremely useful and anyone taking this course should go to lab."
CS2501,CS2501,,Labs were kind of helpful but it would be so much better if the TAs explained the labs at the end.,Tutors and TAs were amazing! They helped me learn a lot and were very approachable.
CS1801,CS1801,,Never showed up to Recitation. Thank you for making it optional as it really would not have been an effective use of my time.,"Great in lecture, but I never showed up in recitation."
CS2801,CS2801,,,
CS3200,CS3200,,"I really like how we get to apply everything we've learned into the term project.  SQL is a very relevant language to know, especially for co-op.  So, I'm really happy I took this course and I'll recommend it to my peers.","It was a pleasure attending Professor Durant's lectures.  She is extremely well versed in the course material, answers questions thoroughly on piazza, and is very flexible/helpful with office hours."
CS2000,CS2000,,"This class had a surprising amount of work and with the condensed summer schedule, it was sometimes hard to get assignments finished on time.",
CS6750,CS6750,,good,intriguing
CS4550,CS4550,,"On one hand, this is a good class because I have indeed learned a lot. However, what I learned is quite shallow. My knowledge of the several frameworks used is surface-level, and I could not answer in-depth questions about them and how they work. The error messages I receive constantly make no sense to me at all. The assignment sheets are filled with buggy code, often missing several important syntax marks and having no explanation behind why the example code (supposedly) works. Everything went just so, so, so fast. This should not be a summer course.","While Jose clearly has a lot of knowledge about web development, his ability to communicate that knowledge didn't always shine. Jose's pace was, frankly, breakneck. When he said the course would be hard, I didn't expect it to be THIS hard. I understand that it is his first time teaching the class in the summer semester. However, what I have a harder time understanding is his lack of presence on Piazza (which he promised), his slow responses to any form of contact, and the utterly pitiful grading rate. Again, I understand that it's a fast class. But he said he would be on Piazza 24/7, and I look at Piazza and see nothing but swarms of confused students posting question after question only to be assisted by tentative student responses. Not even the TA's are present. It's hard to ask questions in the class when it's moving so fast. However, I think the greatest issue I had with this class is how easily prior knowledge was shrugged off. I was extremely lucky to have played around with HTML and CSS before this class. The prerequisites didn't quite seem like classes that would have me prepared for this. I barely kept pace. I am concerned about this class because I look at the last homework assignment, which is filled with bugs, and I don't know how to fix it. This is because nothing returns errors. There is nothing for m to work with. All I know is that the more code from the assignment sheets and Piazza I add, the less my code works. This is not a desperate Piazza post here, I am just stating that I don't feel like this class prepared me to do web development. Could I whip up a mediocre web app? Maybe. Could I explain how everything in it worked? Probably not. I whoever is reading this understands that this is not through any lack of effort on my part. I spent more hours working on assignments for this class than I ever have for any class. I'm used to the painstaking process of debugging by now, but I'm not used to teaching myself javascript because this class won't. I'm not used to getting all my help from classmates because of a lack of teacher presence. It is for these reasons that I really did not enjoy this class. I don't feel like I learned as much as I hoped I would. This is not through a lack of effort on Jose's part. However, I think this class should either just not be taught in the summer or should undergo some curriculum changes. I have a lot of respect for Jose for trying to undertake this class, but I feel it was just too much."
CS5040,CS5040,,The course is very useful and helps me learn a lot.,"Steven is very responsible. Whenever I mail him questions, he can reply me in a short time."
CS5120,CS5120,,"I noticed a lot of students in the discussion board posts simply copy and paste from websites and claiming as their own. Be weary of this in the future. It's not just this class, it's the IA program as a whole. I've reported this before to professors but they do not seem to care too much.","It would have been great if this course has been online , he could have explained the mathematical subjects much more clearly."
CS4700,CS4700,,Sometimes felt frustrated as I was unaware of certain terms and concepts that were deemed already known.,Could have been more approachable.
CS4300,CS4300,,"As we discussed in class, this course could definitely benefit from being brought more up to date technology wise.","Professor Bickmore was excellent, and clearly dedicated to the field that he was teaching us."
CS4400,CS4400,,"6-9 schedule was... ok, but not the most desirable.",
CS5400,CS5400,,"6-9 schedule was... ok, but not the most desirable.",
CS7800,CS7800,,It's great.,"Jon is a great and responsible teacher. He never uses slides but writes everything on blackboard, which is really helpful. But the pacing of the course is a little fast for students whose undergrad major is not CS."
CS5700,CS5700,,Sometimes felt frustrated as I was unaware of certain terms and concepts that were deemed already known.,Could have been more approachable.
CS4740,CS4740,,More in-class demos can be included,NA
CS5130,CS5130,,"The Midterm and Final weights for this course are too high at 25% each.  With the amount of focus on outside assignments and lab tests, these should be weighted with a higher amount and the exams should be normalized to 20/20 as they are in other classes.  The fact that the class average of the Midterm was a 75 and the ""scale"" was 3 points should say it all.  The Midterm questions were too stringent and did not allow for the proper allocation of partial credit.  The fact that this class did not allow for extra credit to help with the poorly scaled final means that those in the ""average"" already had a 93 going into the Final.  Without a scaled consideration for the final grade I feel this is too large of a punishment for those taking the class that have done perfectly on the assignments and are unfairly punished due to strict test scores.",
CS6740,CS6740,,More in-class demos can be included,NA
CS5210,CS5210,,Course structure,Makes class intresting
CS5131,CS5131,,No comments,No comments
CS4100,CS4100,,The homework assignments were not particularly relevant to the exams and concepts a good portion of the time.  The in-class quizzes and the single written homework assignment helped much more than the programming assignments.,Fun and interesting.
CS3520,CS3520,,Great assignments to refine programming skill.,"Lectures went too slow so it was hard at times to stay focused. But, everything needed to complete homeworks was stated in lectures so they were useful."
CS7600,CS7600,,"This course contained some interesting concepts which were relevant to its phd level. We learnt to critique and discuss research papers in the area, while also applying the review knowledge we gained in preparing a survey paper in a topic of the field. It is worth to note that this had an added difficulty with students who didn't have the research background in this field (this is a core course that all phd students must take). There was also a heavy programming assignment towards the end of the semester, however, due to scheduling issues, I felt that the preparation for this assignment could have been better, as the majority of the class struggled. My suggestion for the future would be to provide more material (we had no textbook or links to sources), spend more time explaining the various concepts of the class and break the programming assignment in pieces to be worked throughout the semester.","One of the main positive attributes for the professor would be his outstanding effort to aid students and help them understand the concepts of the class, devoting plenty of office hours throughout the semester, especially to students whose background is not in systems. An area that could be improved is the content of the class. Although the intention was to teach a number of system related concepts in class, the lack of textbook or other materials, combined with scheduling issues, created some organization issues throughout the semester. At points, I felt that some areas needed to be expanded in more detail."
CS5340,CS5340,,In class lectures can be made more engaging instead of just slides being read .,"She is good teacher , having a good amount of knowledge with the course , however, outside the class interaction like Piazza and TA hours needs to be given more priority."
CS7480,CS7480,,We read lots of good / interesting papers.,"Suggestion: give ""10 minutes left"" and ""5 minutes left"" warnings with hand gestures or paper signs (especially for the project presentations)."
CS7180,CS7180,,"I feel the assignments of this course are a little heavy. If more students register this course, it would be easier (don't need to present papers frequently). In this way, we can devote more time to the course project.",The instructor is very enthusiastic about his research and the topics we covered in class.
CS4850,CS4850,,,
CS8660,CS8660,,this is a real opportunity to conduct research. Presentations include too many groups so it is not easy to pay attention to all the groups remotely.,"A lot of experience as a researcher, she understand the whole picture of research including technical, management and communication issues"
CS7775,CS7775,,Reading was an interesting way to pick up knowledge that was assumed by the papers.,Alina was always willing to meet outside of class.
CS5850,CS5850,,,
CS6650,CS6650,,"It's better to add some prerequisites for this class. I think anyone who would like to take this class should be very familiar with JEE, AWS and database technologies, otherwise there's no way they could survive :(",A little more background on working with AWS and the related technologies would be greatly helpful in our assignments.
CS4900,CS4900,,It really feels accomplished when I finished the project,the instructor provided very helpful feedback to the assignments.
CS7805,CS7805,,The lectures was great and professor has deep knowledge but I think this course is prepared for Theory group students and not for all students.  I thinks for other students the course speed was so quick specially before midterm.,The instructor is able to describe complex topics very well. He gives enough intuition and examples. He also repeats concepts/ideas and does not make the mistake of thinking that if explained once that everyone understood right away. Overall a great instructor.
CS4770,CS4770,,,
CS4200,CS4200,,This course was great aside from the service learning aspect,Cares a lot about what she is teaching. Spending more time focusing on the more technical aspects of creating visualizations could be more valuable.
CS5220,CS5220,,"is great for students to learn. But, I think this class can learn something from the Mooc courses, it may be more effective.",Professor Coll-Font is a good lecturer and is always checking to make sure that the class is understanding what is going on. I think that the lectures done on a blackboard (vs. via PPT) were much more effective because he would work through each step of a problem making it easier to follow complicated solutions. The greatest area of improvement is that he would occasionally get caught-up on a tangent with some obscure math. This can be useful but in most instances it would be better to come back to it with more formalized lecture material in my opinion.
CS5330,CS5330,,A bit more structure to the course without diverging based on what students say.,"Just one thing, we spent a lot of time on (CNN) Machine Learning than Computer Vision because the students wanted to work on it. Teachers should know better and resist when students ask for something that is not needed in so much depth."
CS5110,CS5110,,"Overall, it's a good course, but I hope we can learn different programming language used in data analysis.",Sometimes i felt the TAs are more prepared than Prof Vitek.
CS5020,CS5020,,"Course covered a lot of linear algebra and probability concepts, along with its applications which will be very helpful for me.","Very kind professor. Gives lot of challenging homework that makes us really understand the subject thoroughly. In addition to teaching the subject, he also gives us a motivation of where these concepts are going to be used. He is also very understanding and sometimes extends the homework deadline without even asking as he knows that the homework was tough. I am very grateful to learn under him."
CS1802,CS1802,,"I think it would be better to have time to review the material instead of just having problems to do each week. The problems took up the entire class time, and sometimes we didn't get to all of them. I feel it would have been more beneficial to spend some of that time reviewing. Also, the seminar was often ahead of the lecture, so some in-class problems covered material we had never seen.","He often came to class late, which caused us to lose time that could have been spent going over material. As a result, the class was often let out late, and he sometimes seemed annoyed when we wanted to go, even though we had other classes after. Also, he never told us when the quizzes were, and I heard from some of my friends in different seminars that they were informed beforehand. I don't think this was fair, as each quiz was like a pop quiz for us while other students had time to prepare and study."
CS7290,CS7290,,,
CS5230,CS5230,Medium,"The workload is ok, however, I recommend have better reading materials. The gap between lecture(way less math) and textbook is a little bit big. If there is more reader-friendly textbook, will be much better.","Lecture is good, if we can break a 3-hr lecture to 2 1.5-hr lectures, will be way more better."
CS7810,CS7810,,It would be helpful to provide answer keys or more comprehensive solutions for homework problems. Scribe notes were very helpful as were the homework review sessions.,"Would be great if most of the explanation could also be written on the board, instead of simply verbally communicating them. For students learning this material for the first time, it might be difficult to get the intuition, especially when they are trying to go through their notes remotely."
CS7295,CS7295,The required readings were very helpful but I found the quantity to be somewhat overwhelming.,I would have found it helpful to have more application of the network visualization techniques.,Cody is a good and enthusiastic teacher.
CS4240,CS4240,Materials are super helpful and detailed. Prof. Miller has her slides prepared carefully before coming to class.,"If you want to learn more about bleeding edge technology like spark, kafka, hadoop, etc, take this class. Professor Miller is one of the best professor I've had in NEU. You'll learn a lot by doing homework and projects. Her lectures are easy to understand and detailed. Grades are not main focus of this class, you just need to try your best.","One of the best professor I've had at NEU. Always prepared for lecture, explanatory and helpful with assignments/questions."
CS7140,CS7140,Textbooks are hard to follow for some parts.,,
