Prof,Course,Lecture Effective,Workload,Personality,Overall,Challenge,Learning Value
Leena Razzaq,CS1100,4.743421052631579,12.0,3.956140350877193,4.789473684210526,4.368421052631579,4.652464494569757
Kevin Gold,CS4800,4.325320512820514,16.0,3.7307692307692313,4.423076923076923,4.423076923076923,4.294871794871796
Yetunde Folajimi,CS5100,3.527777777777778,16.0,3.1504629629629632,3.2222222222222223,3.888888888888889,3.80952380952381
David Choffnes,CS4700,4.459768907563026,20.0,3.658963585434174,4.414285714285715,4.4,4.419327731092437
Timothy Bickmore,CS4300,4.245394736842106,8.0,3.6049707602339183,4.449999999999999,3.875,4.109022556390977
David Sprague,CS2800,4.243421052631579,12.0,3.754385964912281,4.368421052631579,4.2894736842105265,4.250626566416041
Leena Razzaq,CS2510,3.9690452091767883,16.0,3.440058479532164,4.089743589743589,4.307692307692308,4.021303258145363
Martin Schedlbauer,CS2000,4.075123152709359,8.0,3.361666666666667,4.086206896551724,3.803571428571429,3.9629825110120676
Michael Weintraub,CS4500,3.964092664092664,12.0,3.4384813384813384,4.027027027027027,3.716216216216216,3.792939878654164
Kathleen Durant,CS3200,4.3924501424501425,8.0,3.888888888888889,4.518518518518519,4.277777777777778,4.416768416768417
Emanuele Viola,CS3800,2.4003090366581414,12.0,2.090836334533814,1.9607843137254903,3.4654901960784317,2.409638601046339
Amit Shesh,CS3500,4.266338336460287,20.0,3.772747221399339,4.512195121951219,4.300813008130081,4.0186723845260435
Benjamin Lerner,CS3500,4.58435960591133,20.0,3.8653530377668304,4.724137931034482,4.672413793103448,4.566854327938072
Jonathan Lee,CS1200,4.425,4.0,3.7686868686868693,4.541666666666667,3.5681818181818183,4.080952380952381
Andrea Hauser,CS1200,4.4663419913419915,4.0,3.737662337662338,4.766666666666667,3.45,4.1424860853432275
Prajna Kulkarni,CS1200,4.197916666666666,4.0,3.6729797979797976,4.333333333333334,3.3446969696969697,3.764069264069264
Jessica Biron,CS1200,4.729166666666667,4.0,3.944444444444444,5.0,3.6,4.166666666666666
Alan Mislove,CS2500,4.664473684210526,16.0,3.9,4.875,4.430882352941177,4.367669172932331
Matthias Felleisen,CS2500,4.426136363636364,16.0,3.6272903453136016,4.522727272727273,4.5,4.440425853216551
Kevin Gold,CS1800,4.520833333333334,8.0,3.768333333333333,4.6,4.16,4.3723809523809525
Javed Aslam,CS1800,4.618654880499668,12.0,3.833636070171895,4.783839630742808,4.435494148997799,4.451763982386694
Eliyahu Barzilay,CS4400,4.143984962406015,12.0,3.4523809523809526,4.404761904761905,4.5476190476190474,4.243465807375581
Abhi Shelat,CS4800,4.10576923076923,16.0,3.448717948717949,4.076923076923077,4.384615384615384,4.153846153846154
Eliyahu Barzilay,CS5400,4.143984962406015,12.0,3.4523809523809526,4.404761904761905,4.5476190476190474,4.243465807375581
Jonathan Ullman,CS7800,4.740432576539388,16.0,4.017543859649122,4.894736842105263,4.7105263157894735,4.633176077448524
David Choffnes,CS5700,4.459768907563026,20.0,3.658963585434174,4.414285714285715,4.4,4.419327731092437
Kenneth Baclawski,CS5200,4.50625,12.0,3.8244949494949494,4.5,4.311111111111112,4.443650793650794
Peter Desnoyers,CS5600,4.4006410256410255,12.0,3.719373219373219,4.2407407407407405,4.433048433048434,4.266088726088726
Rajmohan Rajaraman,CS5800,4.727271559255834,20.0,3.961995066296639,4.787234042553191,4.712765957446809,4.6053257565746
Guevara Noubir,CS4740,4.604828042328043,16.0,3.9404761904761902,4.5892857142857135,4.607142857142858,4.614701436130007
Martin Schedlbauer,CS1100,4.027777777777778,16.0,3.502314814814815,4.166666666666666,4.111111111111111,3.9265873015873014
Martin Schedlbauer,CS1100,3.7376373626373622,12.0,3.327838827838828,3.9285714285714284,3.9258241758241756,3.751177394034537
Martin Schedlbauer,CS1100,3.4430555555555555,10.0,3.074074074074074,3.5,3.75,3.5634920634920633
