prof,code,lecture,workload,personality,overall,challenge,learning
Aanjhan Ranganathan,CS5700,4.221195652173913,12.0,4.456521739130435,4.304347826086957,4.3226544622425624,4.159627329192547
Aanjhan Ranganathan,CS6710,4.221195652173913,12.0,4.456521739130435,4.304347826086957,4.3226544622425624,4.159627329192547
Aanjhan Ranganathan,CS7780,4.84375,12.0,4.875,4.958333333333334,4.909090909090909,4.658008658008659
Abhi Shelat,CS4800,4.84375,12.0,4.875,4.958333333333334,4.909090909090909,4.658008658008659
Abigail Evans,CS5001,4.10576923076923,16.0,3.448717948717949,4.076923076923077,4.384615384615384,4.153846153846154
Abraham Bagherjeiran,CS6140,4.419642857142857,12.0,4.595238095238096,4.519047619047619,4.021978021978022,4.249607535321821
Aditya Rathi,CS5010,4.306818181818182,16.0,4.303030303030303,4.363636363636363,4.363636363636363,4.298701298701299
Adrienne Slaughter,CS5002,4.107142857142857,20.0,4.273809523809524,3.9976190476190476,4.081932773109243,4.1348289315726285
Adrienne Slaughter,CS5006,3.4529248468393203,16.666666666666668,3.836608883319409,3.365285673533427,3.9928273427471113,3.626341623512905
Adrienne Slaughter,CS5007,3.670138888888889,17.0,3.7962962962962967,3.5,4.008928571428571,3.7351190476190474
Adrienne Slaughter,CS5010,3.4804687499999996,10.0,3.6579861111111116,3.5364583333333335,3.7718749999999996,3.428571428571428
Adrienne Slaughter,CS5082,3.9817552361853834,20.0,4.108878276277573,3.9778212915601023,4.068198529411765,4.044299097109199
Adrienne Slaughter,CS5520,3.4583333333333335,12.0,3.75,3.833333333333333,4.166666666666666,3.7857142857142856
Adrienne Slaughter,CS7680,3.9270833333333335,13.333333333333334,4.008333333333334,3.766666666666667,4.163888888888889,4.035714285714286
Ahmed Hamed,CS5006,4.458333333333333,16.0,4.555555555555556,4.5,4.166666666666666,4.476190476190476
Ahmed Hamed,CS5007,3.084803921568628,4.0,2.7925590749120164,2.735294117647059,2.7254901960784315,2.770868347338936
Aileen Kent Yates,CS1210,2.1315789473684212,4.0,1.9385964912280702,1.9473684210526314,2.31203007518797,2.112781954887218
Alan Mislove,CS2500,4.4325233815591165,4.0,3.7921533185020393,4.602443792766374,3.5976569886052645,4.122036025048102
Alden Jackson,CS3650,4.653084926227926,14.0,4.487841013405797,4.806086179552322,4.5585449736009025,4.503668380700899
Alexandra Ressing,CS1200,4.239583333333333,14.0,4.553030303030303,4.375,4.518939393939394,4.25
Alina Oprea,CS4400,4.157582386749054,4.0,4.271808438475104,4.204913913247247,3.3311258186258184,3.8031018804828327
Alina Oprea,CS4770,4.527777777777779,12.0,4.648148148148148,4.611111111111111,4.770833333333334,4.444444444444445
Alina Oprea,CS6750,4.756547619047619,12.0,4.400396825396825,4.816666666666666,4.612179487179487,4.724699110413396
Amal Ahmed,CS2500,4.516964285714286,13.0,4.268452380952381,4.691666666666666,4.424679487179487,4.397318158032444
Amal Ahmed,CS7400,4.199343004531326,16.0,4.008972086366964,4.22463768115942,4.458897990029376,4.224162881645187
Amal Ahmed,CS7480,4.571288780663781,16.0,3.7692099567099566,4.573863636363637,4.137806637806638,4.362786023500309
Amit Shesh,CS3500,4.729166666666667,12.0,3.972222222222222,4.75,4.75,4.642857142857143
Amit Shesh,CS4300,4.3758934184067755,19.6,4.100144830871893,4.551291677717751,4.306698000092384,4.250499264382791
Amit Shesh,CS5004,4.395022679562153,13.333333333333334,4.057723546758635,4.456177837756785,4.324298995351627,4.289189854979328
Amit Shesh,CS5010,4.589528527028528,20.0,4.161976911976912,4.6572039072039075,4.521409146409146,4.472850165707309
Amit Shesh,CS5310,4.4125174679466515,20.0,4.460591185268445,4.432982056638017,4.164678405843194,4.270400048863614
Amit Shesh,CS5800,4.765625,18.0,4.833333333333333,4.9375,4.5,4.625
Amy Carmack,CS1200,4.443080357142858,20.0,4.567830086580086,4.428571428571429,4.323792016806722,4.373170966499808
