Prof,Lecture Effective,Workload,Personality,Overall,Challenge,Learning Value
Aanjhan Ranganathan,4.5324728260869565,12.0,4.665760869565217,4.6313405797101455,4.615872685666735,4.408817993600604
Abhi Shelat,4.10576923076923,16.0,3.448717948717949,4.076923076923077,4.384615384615384,4.153846153846154
Abigail Evans,4.419642857142857,12.0,4.595238095238096,4.519047619047619,4.021978021978022,4.249607535321821
Abraham Bagherjeiran,4.306818181818182,16.0,4.303030303030303,4.363636363636363,4.363636363636363,4.298701298701299
Aditya Rathi,4.107142857142857,20.0,4.273809523809524,3.9976190476190476,4.081932773109243,4.1348289315726285
Adrienne Slaughter,3.7372440683809414,15.142857142857142,3.9261931123488396,3.696982114551463,4.035820444994429,3.833146545441835
Ahmed Hamed,2.608191434468525,4.0,2.3655777830700435,2.341331269349845,2.518760135633201,2.4418251511130773
Aileen Kent Yates,4.4325233815591165,4.0,3.7921533185020393,4.602443792766374,3.5976569886052645,4.122036025048102
Alan Mislove,4.653084926227926,14.0,4.487841013405797,4.806086179552322,4.5585449736009025,4.503668380700899
Alden Jackson,4.239583333333333,14.0,4.553030303030303,4.375,4.518939393939394,4.25
Alexandra Ressing,4.157582386749054,4.0,4.271808438475104,4.204913913247247,3.3311258186258184,3.8031018804828327
Alina Oprea,4.6149603174603175,12.4,4.3971693121693125,4.725555555555555,4.568910256410257,4.537695796267225
Amal Ahmed,4.454086047411376,15.2,3.9057172616752127,4.469400527009222,4.388681851134406,4.363350990629627
Amit Shesh,4.4375908787628,18.761904761904763,4.216701217235999,4.548269951546594,4.3371926319764755,4.31920260650546
Amy Carmack,4.3375,4.0,4.488888888888888,4.699999999999999,3.0642857142857145,3.914285714285714
Amy Hoover,3.4054276315789473,12.0,3.125,3.270121951219512,3.66497975708502,3.5163678426836324
Andrea Hauser,4.484322691197692,4.0,3.7889971139971137,4.580353535353535,3.4807070707070706,4.0397021232735515
Andrea Parker,4.225378787878788,16.0,3.6136363636363638,4.359848484848485,3.9722222222222223,4.113275613275613
Andrew Dickens,4.017857142857142,12.0,4.25,4.071428571428571,3.9505494505494507,4.137362637362637
Anthony Mullen,4.345036764705883,14.5,4.4197467320261445,4.363872549019607,4.272120098039216,4.279007352941177
Anurag Bhardwaj,3.9423076923076925,16.0,4.0,3.8076923076923075,4.3076923076923075,3.9468864468864466
Bahram Shafai,4.575,14.0,3.883333333333333,4.55,4.6,4.596825396825397
Benjamin Hescott,4.784325662517152,12.0,4.847812549940209,4.8819587032352985,4.627359992253609,4.683005638324787
Benjamin Lerner,4.4635732669705375,17.75,4.005076903398929,4.56731425416034,4.466640112162306,4.434472199112239
Bilal Ahmed,4.694444444444445,20.0,4.814814814814816,4.722222222222222,4.756944444444445,4.682539682539683
