UID,id,instructorId,termId,schoolCode,number,section,type,name,instructorName
41392-3373-96,41392,3373,96,CS,5004,03,Lecture,Object-Oriented Design,Philip Gust
41393-3373-96,41393,3373,96,CS,5005,05,Recitation/Discussion,Recitation for CS 5004,Philip Gust
41397-2694-96,41397,2694,96,CS,5006,,Lecture,Algorithms,Joseph Buck
41394-3666-96,41394,3666,96,CS,5006,02,Lecture,Algorithms,Michael Shah
41395-3423-96,41395,3423,96,CS,5006,03,Lecture,Algorithms,Vidoje Mihajlovikj
41396-3296-96,41396,3296,96,CS,5006,04,Lecture,Algorithms,Adrienne Slaughter
41398-3885-96,41398,3885,96,CS,5006,06,Lecture,Algorithms,Tiffani Williams
38432-577-87,38432,577,87,CS,1100,01,Lecture,CS  Its Applications,Karl Lieberherr
38433-577-87,38433,577,87,CS,1100,02,Lecture,CS  Its Applications,Karl Lieberherr
38434-1427-87,38434,1427,87,CS,1100,03,Lecture,CS  Its Applications,Ghita Amor-Tijani
38435-1427-87,38435,1427,87,CS,1100,04,Lecture,CS  Its Applications,Ghita Amor-Tijani
38436-1571-87,38436,1571,87,CS,1100,05,Lecture,CS  Its Applications,Kathleen Durant
38437-1571-87,38437,1571,87,CS,1100,06,Lecture,CS  Its Applications,Kathleen Durant
39229-577-87,39229,577,87,CS,1100,07,Lecture,CS  Its Applications,Karl Lieberherr
39457-577-87,39457,577,87,CS,1100,08,Lecture,CS  Its Applications,Karl Lieberherr
39875-1427-87,39875,1427,87,CS,1100,09,Lecture,CS  Its Applications,Ghita Amor-Tijani
39876-1427-87,39876,1427,87,CS,1100,10,Lecture,CS  Its Applications,Ghita Amor-Tijani
39877-1571-87,39877,1571,87,CS,1100,11,Lecture,CS  Its Applications,Kathleen Durant
39878-2099-87,39878,2099,87,CS,1100,12,Lecture,CS  Its Applications,Michael Weintraub
39879-577-87,39879,577,87,CS,1100,13,Lecture,CS  Its Applications,Karl Lieberherr
39880-577-87,39880,577,87,CS,1100,14,Lecture,CS  Its Applications,Karl Lieberherr
39881-1427-87,39881,1427,87,CS,1100,15,Lecture,CS  Its Applications,Ghita Amor-Tijani
39882-1427-87,39882,1427,87,CS,1100,16,Lecture,CS  Its Applications,Ghita Amor-Tijani
39883-2099-87,39883,2099,87,CS,1100,17,Lecture,CS  Its Applications,Michael Weintraub
39884-2099-87,39884,2099,87,CS,1100,18,Lecture,CS  Its Applications,Michael Weintraub
38029-2413-87,38029,2413,87,CS,1200,01,Lecture,Leadership Skill Development,Prajna Kulkarni
38028-3463-87,38028,3463,87,CS,1200,02,Lecture,Leadership Skill Development,Margaret Whitehead
38027-4363-87,38027,4363,87,CS,1200,03,Lecture,Leadership Skill Development,Claire Wassinger
38027-3665-87,38027,3665,87,CS,1200,03,Lecture,Leadership Skill Development,Megan Giordano
38026-2302-87,38026,2302,87,CS,1200,04,Lecture,Leadership Skill Development,Jessica Speece
38916-3746-87,38916,3746,87,CS,1200,05,Lecture,Leadership Skill Development,Alexandra Ressing
38953-3665-87,38953,3665,87,CS,1200,06,Lecture,Leadership Skill Development,Megan Giordano
39178-2302-87,39178,2302,87,CS,1200,07,Lecture,Leadership Skill Development,Jessica Speece
39179-2413-87,39179,2413,87,CS,1200,08,Lecture,Leadership Skill Development,Prajna Kulkarni
39231-3463-87,39231,3463,87,CS,1200,09,Lecture,Leadership Skill Development,Margaret Whitehead
39331-3746-87,39331,3746,87,CS,1200,10,Lecture,Leadership Skill Development,Alexandra Ressing
39405-4178-87,39405,4178,87,CS,1200,11,Lecture,Leadership Skill Development,Jill Forgash
39570-4101-87,39570,4101,87,CS,1200,12,Lecture,Leadership Skill Development,Dawn Shirak
39571-3665-87,39571,3665,87,CS,1200,13,Lecture,Leadership Skill Development,Megan Giordano
39572-3746-87,39572,3746,87,CS,1200,14,Lecture,Leadership Skill Development,Alexandra Ressing
39573-3463-87,39573,3463,87,CS,1200,15,Lecture,Leadership Skill Development,Margaret Whitehead
39574-2413-87,39574,2413,87,CS,1200,16,Lecture,Leadership Skill Development,Prajna Kulkarni
39575-4363-87,39575,4363,87,CS,1200,17,Lecture,Leadership Skill Development,Claire Wassinger
39575-3463-87,39575,3463,87,CS,1200,17,Lecture,Leadership Skill Development,Margaret Whitehead
39885-4178-87,39885,4178,87,CS,1200,18,Lecture,Leadership Skill Development,Jill Forgash
39886-4101-87,39886,4101,87,CS,1200,19,Lecture,Leadership Skill Development,Dawn Shirak
39887-3665-87,39887,3665,87,CS,1200,20,Lecture,Leadership Skill Development,Megan Giordano
40188-3746-87,40188,3746,87,CS,1200,21,Lecture,Leadership Skill Development,Alexandra Ressing
40188-4363-87,40188,4363,87,CS,1200,21,Lecture,Leadership Skill Development,Claire Wassinger
40189-2302-87,40189,2302,87,CS,1200,22,Lecture,Leadership Skill Development,Jessica Speece
40190-4178-87,40190,4178,87,CS,1200,23,Lecture,Leadership Skill Development,Jill Forgash
40191-4101-87,40191,4101,87,CS,1200,24,Lecture,Leadership Skill Development,Dawn Shirak
39066-300-87,39066,300,87,CS,1210,02,Lecture,Professional Development Co-op,Melissa Peikin
39569-2257-87,39569,2257,87,CS,1210,03,Lecture,Professional Development Co-op,Yasmil Montes
39406-3559-87,39406,3559,87,CS,1210,04,Lecture,Professional Development Co-op,Priyanka Bishnoi
39412-3530-87,39412,3530,87,CS,1210,05,Lecture,Professional Development Co-op,Nathanael Lash
39576-3621-87,39576,3621,87,CS,1210,06,Lecture,Professional Development Co-op,Brianne McDonough
39577-300-87,39577,300,87,CS,1210,07,Lecture,Professional Development Co-op,Melissa Peikin
39655-2257-87,39655,2257,87,CS,1210,08,Lecture,Professional Development Co-op,Yasmil Montes
39888-3559-87,39888,3559,87,CS,1210,09,Lecture,Professional Development Co-op,Priyanka Bishnoi
39889-3530-87,39889,3530,87,CS,1210,10,Lecture,Professional Development Co-op,Nathanael Lash
40192-3621-87,40192,3621,87,CS,1210,11,Lecture,Professional Development Co-op,Brianne McDonough
38034-402-87,38034,402,87,CS,1800,01,Lecture,Discrete Structures,Virgil Pavlu
38033-2003-87,38033,2003,87,CS,1800,02,Lecture,Discrete Structures,Ravi Sundaram
39461-2309-87,39461,2309,87,CS,1800,03,Lecture,Discrete Structures,Kevin Gold
40850-3475-87,40850,3475,87,CS,1800,04,Lecture,Discrete Structures,John Rachlin
40193-402-87,40193,402,87,CS,1802,01,Seminar,Seminar for CS 1800,Virgil Pavlu
40194-402-87,40194,402,87,CS,1802,02,Seminar,Seminar for CS 1800,Virgil Pavlu
40195-402-87,40195,402,87,CS,1802,03,Seminar,Seminar for CS 1800,Virgil Pavlu
40196-402-87,40196,402,87,CS,1802,04,Seminar,Seminar for CS 1800,Virgil Pavlu
40197-402-87,40197,402,87,CS,1802,05,Seminar,Seminar for CS 1800,Virgil Pavlu
40198-402-87,40198,402,87,CS,1802,06,Seminar,Seminar for CS 1800,Virgil Pavlu
40199-1427-87,40199,1427,87,CS,1802,07,Seminar,Seminar for CS 1800,Ghita Amor-Tijani
40200-3423-87,40200,3423,87,CS,1802,08,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40201-1427-87,40201,1427,87,CS,1802,09,Seminar,Seminar for CS 1800,Ghita Amor-Tijani
40202-2310-87,40202,2310,87,CS,1802,10,Seminar,Seminar for CS 1800,Nada Naji
40203-2348-87,40203,2348,87,CS,1802,11,Seminar,Seminar for CS 1800,David Sprague
40204-3423-87,40204,3423,87,CS,1802,12,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40205-4044-87,40205,4044,87,CS,1802,14,Seminar,Seminar for CS 1800,Alden Jackson
40206-2348-87,40206,2348,87,CS,1802,15,Seminar,Seminar for CS 1800,David Sprague
40208-2310-87,40208,2310,87,CS,1802,16,Seminar,Seminar for CS 1800,Nada Naji
40209-3423-87,40209,3423,87,CS,1802,17,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40210-2398-87,40210,2398,87,CS,1802,18,Seminar,Seminar for CS 1800,Nathaniel Tuck
40211-4044-87,40211,4044,87,CS,1802,19,Seminar,Seminar for CS 1800,Alden Jackson
40212-3423-87,40212,3423,87,CS,1802,20,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40213-2398-87,40213,2398,87,CS,1802,21,Seminar,Seminar for CS 1800,Nathaniel Tuck
40214-1427-87,40214,1427,87,CS,1802,22,Seminar,Seminar for CS 1800,Ghita Amor-Tijani
40215-2310-87,40215,2310,87,CS,1802,23,Seminar,Seminar for CS 1800,Nada Naji
40216-1427-87,40216,1427,87,CS,1802,24,Seminar,Seminar for CS 1800,Ghita Amor-Tijani
40217-3423-87,40217,3423,87,CS,1802,25,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40218-2348-87,40218,2348,87,CS,1802,26,Seminar,Seminar for CS 1800,David Sprague
40219-4044-87,40219,4044,87,CS,1802,27,Seminar,Seminar for CS 1800,Alden Jackson
40220-3423-87,40220,3423,87,CS,1802,29,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40221-2348-87,40221,2348,87,CS,1802,30,Seminar,Seminar for CS 1800,David Sprague
40222-3423-87,40222,3423,87,CS,1802,31,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40223-2398-87,40223,2398,87,CS,1802,32,Seminar,Seminar for CS 1800,Nathaniel Tuck
40851-4044-87,40851,4044,87,CS,1802,33,Seminar,Seminar for CS 1800,Alden Jackson
40852-3423-87,40852,3423,87,CS,1802,34,Seminar,Seminar for CS 1800,Vidoje Mihajlovikj
40853-2310-87,40853,2310,87,CS,1802,35,Seminar,Seminar for CS 1800,Nada Naji
40855-2398-87,40855,2398,87,CS,1802,36,Seminar,Seminar for CS 1800,Nathaniel Tuck
38032-1243-87,38032,1243,87,CS,2500,01,Lecture,Fundamentals of Computer Sci 1,Amal Ahmed
38031-1007-87,38031,1007,87,CS,2500,02,Lecture,Fundamentals of Computer Sci 1,Alan Mislove
38499-1007-87,38499,1007,87,CS,2500,03,Lecture,Fundamentals of Computer Sci 1,Alan Mislove
38853-1247-87,38853,1247,87,CS,2500,04,Lecture,Fundamentals of Computer Sci 1,Thomas Wahl
39067-2310-87,39067,2310,87,CS,2500,05,Lecture,Fundamentals of Computer Sci 1,Nada Naji
39068-3664-87,39068,3664,87,CS,2500,06,Lecture,Fundamentals of Computer Sci 1,Nathaniel Derbinsky
39069-3664-87,39069,3664,87,CS,2500,07,Lecture,Fundamentals of Computer Sci 1,Nathaniel Derbinsky
37888-3270-87,37888,3270,87,CS,2501,01,Lab,Lab for CS 2500,Rebecca MacKenzie
38188-3270-87,38188,3270,87,CS,2501,02,Lab,Lab for CS 2500,Rebecca MacKenzie
38189-3270-87,38189,3270,87,CS,2501,03,Lab,Lab for CS 2500,Rebecca MacKenzie
38190-3270-87,38190,3270,87,CS,2501,04,Lab,Lab for CS 2500,Rebecca MacKenzie
38723-3270-87,38723,3270,87,CS,2501,05,Lab,Lab for CS 2500,Rebecca MacKenzie
38420-3270-87,38420,3270,87,CS,2501,06,Lab,Lab for CS 2500,Rebecca MacKenzie
38854-3270-87,38854,3270,87,CS,2501,07,Lab,Lab for CS 2500,Rebecca MacKenzie
39332-3270-87,39332,3270,87,CS,2501,08,Lab,Lab for CS 2500,Rebecca MacKenzie
39400-3270-87,39400,3270,87,CS,2501,09,Lab,Lab for CS 2500,Rebecca MacKenzie
39462-3270-87,39462,3270,87,CS,2501,10,Lab,Lab for CS 2500,Rebecca MacKenzie
39578-3270-87,39578,3270,87,CS,2501,11,Lab,Lab for CS 2500,Rebecca MacKenzie
39579-3270-87,39579,3270,87,CS,2501,12,Lab,Lab for CS 2500,Rebecca MacKenzie
39890-3270-87,39890,3270,87,CS,2501,13,Lab,Lab for CS 2500,Rebecca MacKenzie
39891-3270-87,39891,3270,87,CS,2501,14,Lab,Lab for CS 2500,Rebecca MacKenzie
40954-3270-87,40954,3270,87,CS,2501,15,Lab,Lab for CS 2500,Rebecca MacKenzie
37837-1239-87,37837,1239,87,CS,2510,01,Lecture,Fundamentals of Computer Sci 2,Leena Razzaq
39389-1239-87,39389,1239,87,CS,2510,02,Lecture,Fundamentals of Computer Sci 2,Leena Razzaq
41193-2969-87,41193,2969,87,CS,2510,03,Lecture,Fundamentals of Computer Sci 2,Clark Freifeld
38722-1239-87,38722,1239,87,CS,2511,01,Lab,Lab for CS 2510,Leena Razzaq
38422-1239-87,38422,1239,87,CS,2511,02,Lab,Lab for CS 2510,Leena Razzaq
39230-1239-87,39230,1239,87,CS,2511,03,Lab,Lab for CS 2510,Leena Razzaq
39390-1239-87,39390,1239,87,CS,2511,04,Lab,Lab for CS 2510,Leena Razzaq
37799-2348-87,37799,2348,87,CS,2800,01,Lecture,Logic and Computation,David Sprague
38258-2348-87,38258,2348,87,CS,2801,01,Lab,Lab for CS 2800,David Sprague
38421-2348-87,38421,2348,87,CS,2801,02,Lab,Lab for CS 2800,David Sprague
38954-2348-87,38954,2348,87,CS,2801,03,Lab,Lab for CS 2800,David Sprague
40860-2337-87,40860,2337,87,CS,3000,01,Lecture,Algorithms  Data,Jonathan Ullman
40861-3830-87,40861,3830,87,CS,3000,02,Lecture,Algorithms  Data,Neal Young
40935-2337-87,40935,2337,87,CS,3000,04,Lecture,Algorithms  Data,Jonathan Ullman
38019-1571-87,38019,1571,87,CS,3200,01,Lecture,Database Design,Kathleen Durant
39892-3684-87,39892,3684,87,CS,3200,02,Lecture,Database Design,Wolfgang Gatterbauer
40857-3475-87,40857,3475,87,CS,3200,03,Lecture,Database Design,John Rachlin
38025-1567-87,38025,1567,87,CS,3500,01,Lecture,Object-Oriented Design,Benjamin Lerner
38022-1567-87,38022,1567,87,CS,3500,02,Lecture,Object-Oriented Design,Benjamin Lerner
39893-2749-87,39893,2749,87,CS,3500,03,Lecture,Object-Oriented Design,Amit Shesh
40434-2969-87,40434,2969,87,CS,3500,04,Lecture,Object-Oriented Design,Clark Freifeld
39070-2382-87,39070,2382,87,CS,3520,01,Lecture,Programming in C++,Seth Cooper
39333-3666-87,39333,3666,87,CS,3650,01,Lecture,Computer Systems,Michael Shah
39580-3666-87,39580,3666,87,CS,3650,02,Lecture,Computer Systems,Michael Shah
39894-2398-87,39894,2398,87,CS,3650,03,Lecture,Computer Systems,Nathaniel Tuck
41298-4044-87,41298,4044,87,CS,3650,04,Lecture,Computer Systems,Alden Jackson
39334-1665-87,39334,1665,87,CS,3700,01,Lecture,Networks  Distributed Systems,Christopher Wilson
40858-3483-87,40858,3483,87,CS,3700,02,Lecture,Networks  Distributed Systems,Long Lu
38020-3660-87,38020,3660,87,CS,3800,01,Lecture,Theory of Computation,Benjamin Hescott
39735-3311-87,39735,3311,87,CS,3800,02,Lecture,Theory of Computation,Walter Schnyder
40970-515-87,40970,515,87,CS,3800,03,Lecture,Theory of Computation,William Clinger
38939-3129-87,38939,3129,87,CS,4100,01,Lecture,Artificial Intelligence,Christopher Amato
39968-2299-87,39968,2299,87,CS,4120,01,Lecture,Natural Language Processing,Lu Wang
38694-3666-87,38694,3666,87,CS,4300,01,Lecture,Computer Graphics,Michael Shah
38191-4164-87,38191,4164,87,CS,4400,01,Lecture,Programming Languages,Jason Hemann
40859-737-87,40859,737,87,CS,4400,02,Lecture,Programming Languages,Eliyahu Barzilay
40931-1125-87,40931,1125,87,CS,4410,01,Lecture,Compilers,Olin Shivers III
38018-2563-87,38018,2563,87,CS,4500,01,Lecture,Software Development,Matthias Felleisen
40224-4164-87,40224,4164,87,CS,4500,03,Lecture,Software Development,Jason Hemann
40864-2563-87,40864,2563,87,CS,4501,01,Recitation/Discussion,Recitation for CS 4500,Matthias Felleisen
40865-2563-87,40865,2563,87,CS,4501,02,Recitation/Discussion,Recitation for CS 4500,Matthias Felleisen
40867-2563-87,40867,2563,87,CS,4501,03,Recitation/Discussion,Recitation for CS 4500,Matthias Felleisen
40868-2563-87,40868,2563,87,CS,4501,04,Recitation/Discussion,Recitation for CS 4500,Matthias Felleisen
40225-2398-87,40225,2398,87,CS,4550,01,Lecture,Web Development,Nathaniel Tuck
37667-3904-87,37667,3904,87,CS,4700,01,Lecture,Network Fundamentals,Aanjhan Ranganathan
38423-709-87,38423,709,87,CS,4740,01,Lecture,Network Security,Guevara Noubir
41052-2604-87,41052,2604,87,CS,4820,01,Lecture,Computer-Aided Reasoning,Pete Manolios
39680-4112-87,39680,4112,87,CS,5001,01,Lecture,Intensive Foundations of CS,Elena Strange
41130-4040-87,41130,4040,87,CS,5001,02,Lecture,Intensive Foundations of CS,Abigail Evans
41130-4053-87,41130,4053,87,CS,5001,02,Lecture,Intensive Foundations of CS,Andrew Dickens
41131-3987-87,41131,3987,87,CS,5001,03,Lecture,Intensive Foundations of CS,Anthony Mullen
41131-4100-87,41131,4100,87,CS,5001,03,Lecture,Intensive Foundations of CS,David Zheng
41131-4107-87,41131,4107,87,CS,5001,03,Lecture,Intensive Foundations of CS,Donald Hall
41131-4206-87,41131,4206,87,CS,5001,03,Lecture,Intensive Foundations of CS,Kongfuechi Moua
41131-4292-87,41131,4292,87,CS,5001,03,Lecture,Intensive Foundations of CS,Sai Krishna Karanam
41131-4311-87,41131,4311,87,CS,5001,03,Lecture,Intensive Foundations of CS,Shujian Wen
41235-3983-87,41235,3983,87,CS,5001,05,Lecture,Intensive Foundations of CS,Maria Jump
41274-4112-87,41274,4112,87,CS,5001,06,Lecture,Intensive Foundations of CS,Elena Strange
39681-3311-87,39681,3311,87,CS,5002,01,Lecture,Discrete and Data Structures,Walter Schnyder
41132-3296-87,41132,3296,87,CS,5002,02,Lecture,Discrete and Data Structures,Adrienne Slaughter
41133-2906-87,41133,2906,87,CS,5002,03,Lecture,Discrete and Data Structures,Tamara Bonaci
41236-3885-87,41236,3885,87,CS,5002,05,Lecture,Discrete and Data Structures,Tiffani Williams
41280-3373-87,41280,3373,87,CS,5002,06,Lecture,Discrete and Data Structures,Philip Gust
41290-3311-87,41290,3311,87,CS,5002,07,Lecture,Discrete and Data Structures,Walter Schnyder
41134-3987-87,41134,3987,87,CS,5003,02,Recitation/Discussion,Recitation for CS 5001,Anthony Mullen
41135-4040-87,41135,4040,87,CS,5003,03,Recitation/Discussion,Recitation for CS 5001,Abigail Evans
41237-3983-87,41237,3983,87,CS,5003,04,Recitation/Discussion,Recitation for CS 5001,Maria Jump
41275-4112-87,41275,4112,87,CS,5003,06,Recitation/Discussion,Recitation for CS 5001,Elena Strange
41276-4112-87,41276,4112,87,CS,5003,07,Recitation/Discussion,Recitation for CS 5001,Elena Strange
