prof,code,lecture,workload,personality,overall,challenge,learning
Jacek Ossowski,CS1100,4.117149014778325,8.0,3.4774220032840724,4.084482758620689,4.142241379310345,4.202850105559465
Kapil Arya,CS5600,4.508333333333334,16.0,3.744444444444445,4.533333333333333,4.533333333333333,4.428571428571429
Kenneth Baclawski,CS5200,4.368678774928775,12.0,3.7950151409270902,4.2407407407407405,4.179426705370101,4.328449328449329
Kyle Courtney,CS5240,4.1645256916996045,12.0,3.302371541501976,4.108695652173913,3.91304347826087,3.918972332015811
Oleh Kolesnikov,CS6120,4.342105263157895,12.0,3.7051656920077978,4.5,4.432748538011696,4.338345864661655
Amy Hoover,CS5100,3.4054276315789473,12.0,3.125,3.270121951219512,3.66497975708502,3.5163678426836324
Seth Cooper,CS5310,4.125,16.0,3.388888888888889,4.0,4.333333333333333,4.095238095238096
Stephen Intille,CS5520,4.003540640394088,20.0,3.429156784041842,3.9482758620689657,4.172413793103448,4.023933328120521
David Smith,CS6120,3.3812499999999996,12.0,3.013157894736842,3.2249999999999996,3.7333333333333334,3.2642857142857147
Lu Wang,CS6140,3.6375,16.0,3.2999999999999994,3.4000000000000004,4.449999999999999,3.8142857142857145
Jan Vitek,CS6240,3.734375,20.0,3.3605072463768124,3.895833333333333,4.25,3.9829591836734695
Timothy Bickmore,CS6350,4.261363636363637,12.0,3.5,4.227272727272727,4.181818181818182,4.233766233766233
Stephen Intille,CS4520,4.003540640394088,20.0,3.429156784041842,3.9482758620689657,4.172413793103448,4.023933328120521
Martin Schedlbauer,CS1500,4.328540195714109,8.0,3.5881552706552706,4.351851851851852,4.197037037037037,4.368148502061546
Jacek Ossowski,CS1100,4.1391447368421055,8.0,3.543859649122807,4.425,3.8499999999999996,4.180451127819549
Jessica Speece,CS1200,4.522727272727273,4.0,3.7878787878787885,4.572727272727272,4.272727272727273,4.415584415584417
Jessica Biron,CS1200,4.590909090909092,4.0,3.893939393939394,4.7272727272727275,4.318181818181818,4.441558441558442
Nathaniel Tuck,CS2500,3.773154510218464,12.0,3.002328098258331,3.7404040404040404,3.9219638242894055,3.8350481559783884
Nicholas Brown,CS3540,3.6022727272727275,8.0,3.378787878787879,3.9545454545454546,3.8227272727272723,3.7922077922077926
Nada Naji,CS6200,4.4375,16.0,3.687314319667261,4.3235294117647065,4.1911764705882355,4.3277310924369745
Amal Ahmed,CS7400,4.547123015873016,20.0,3.720238095238095,4.375,3.7301587301587302,4.141156462585033
Timothy Trow,CS5200,3.399929050567595,12.0,2.8579291365669075,3.3684210526315788,3.453216374269006,3.604010025062656
Nathaniel Tuck,CS6240,3.875,20.0,3.466666666666667,3.9,3.8166666666666664,3.691789819376026
Jose Annunziato,CS5610,4.685714285714286,16.0,3.9380952380952383,4.814285714285714,4.428571428571429,4.643817527010804
